A B C Total
6.06120009652 53.5263068091 42.6295431796 103.015850921
7.45917872847 39.6638626989 46.5546727417 98.4686660075
7.82671123967 44.0777009774 47.1256698979 99.1550951088
8.14451934838 58.983294382 56.8397945742 128.01698512
9.27836876911 56.8492505145 50.6792563753 119.177559313
7.99236069372 53.0049275431 34.8137479049 97.3124471778
7.01000127009 58.2145275938 66.0368695992 131.925868946
9.74856384498 53.3578524103 39.0799407243 106.746562788
6.47901112473 47.0562777945 26.4937715065 84.5646551762
6.920842736 43.8790915195 50.1974044973 104.892989893
8.26886496686 36.3834367648 68.492352314 114.753117557
7.08725254867 44.8558592743 40.4559514942 94.2649303259
8.8692848372 47.3838114561 47.2526295057 105.85621905
5.31914405286 56.6122790961 63.2363090002 125.937049821
7.21662912043 49.3927227564 67.3288807612 128.319354349
6.86170718791 58.0798751823 55.6527454081 124.964427065
5.05712854007 41.7092248487 40.1702282173 91.09705592
7.79664929974 47.9039900811 39.777449601 98.7515736889
7.74485984845 50.2197306292 55.7469245755 117.618422788
6.5477477431 50.6095171359 64.895729285 123.154037786
6.26974522522 47.0615949182 51.3348433108 107.083653055
6.43563414554 54.1522721959 57.7457781028 119.027451238
9.73732759282 56.3464321229 50.943586914 117.907633011
9.30990909774 57.4431662423 73.9154690455 144.824352349
6.33686429435 54.9292311322 41.0385908025 103.223361867
7.57975541583 44.6969218134 50.1436600234 107.147409009
7.08221060714 54.7838382998 41.4609509106 103.671434059
9.20801718713 43.6509326216 57.7087050654 113.364011633
8.31468859143 50.2544182351 46.7113660219 110.073282508
7.03505068827 47.8789911922 49.61947028 106.103105386
6.90178410642 41.5176325317 38.4302174175 90.609100578
7.59325990428 55.8154201911 50.4690566719 115.533529513
6.4002456102 43.9315041669 62.3169934953 115.114569124
6.59501339963 54.1869119923 49.1864377014 110.637460497
5.0770260985 56.7312297352 24.4721176341 90.5895881207
6.98511802382 48.7544687166 57.3216970153 118.020275271
6.19869724117 48.962378518 56.3722544711 112.326290878
7.67849584003 58.8662380592 50.2353088318 118.888777473
6.44625317582 53.9515965222 49.3196217236 109.984077387
9.92177557145 56.062255062 36.5817498703 105.238039388
8.58295789428 48.3439462894 42.6458321223 104.306579649
7.82234383509 55.4042198522 67.0763994794 134.296553705
7.43816341515 59.8554815876 47.6796930035 117.882810478
5.01648109216 52.7587317438 54.0936107873 113.414061339
7.43913556888 48.3420900044 59.3720539594 115.741783706
6.75661546714 52.4980228766 63.2169837136 126.737420829
5.81904022969 57.7869761493 58.6027064237 125.61203228
5.28244195255 49.4215371653 65.4214814211 122.542647048
9.41149898107 52.1839267721 51.0854345864 117.449109087
7.3449815016 52.8361870856 54.8544701066 118.777814149
9.31220058119 52.3626775148 55.4876467376 118.9205526
9.66450633265 41.8067528187 50.3699828576 102.995919987
8.91782008879 52.2381342484 37.9311630983 102.680597425
7.67405188063 55.0551021362 54.1914315762 121.600542424
6.43907880172 50.2384218258 55.3098638329 116.42340853
5.53342604111 51.8949927821 56.79943414 118.952857736
5.11951233233 49.3682653733 49.8083561058 104.405595884
