A B C Total
8.44048164427 56.8365476322 48.0119994255 115.874642414
6.01180532349 49.7822689685 27.2386443114 83.2557507398
5.74040287692 38.9280845448 55.5875346682 101.68406053
7.99259892558 55.5140238058 46.825731819 112.163056433
7.86513930026 47.0534697758 50.331909837 109.405714288
5.39414493295 52.098653514 38.0370359458 98.8531609579
9.33648611293 48.2834562097 55.55851985 116.279011115
7.67526721563 47.0393716395 49.5981071727 108.243262253
5.94981205212 43.7067436208 34.1817365792 87.0577990903
9.18196484917 53.6562929123 35.3162611493 101.486646983
9.92200880182 45.2951967238 38.3376898275 97.3612408943
9.8031740214 44.8685854557 56.157523725 111.832662121
9.95018311031 50.4337921563 39.7907094532 104.697930174
8.73618286157 39.2949983494 46.8740356079 99.1396048187
9.92027122844 47.1285643536 55.2845820025 116.047680461
6.22668170712 50.5193517805 63.3089553762 124.739179956
5.62263911924 51.6606337904 55.2211674957 113.894496283
6.24011381705 43.1024023082 36.1485354719 89.90339125
5.46568150368 51.0070169275 53.5945457526 111.042501528
7.53228688354 51.015551877 42.0871705173 102.295725134
7.44462623417 53.6892745651 47.4014113239 113.471120394
5.8127780751 59.0446013666 60.6603765995 128.97003803
8.13109739845 56.4842659905 55.0070137991 120.171348288
7.67704193119 49.8285548605 52.3807428638 111.183232207
6.57814075748 48.8977629277 41.0422952443 100.015865334
7.76737552765 45.3294512983 33.5913937316 90.7119144955
5.82001777745 44.8887707489 56.4405064781 110.927773553
8.51458498298 48.1256423823 46.1464361306 103.690831152
8.14971301975 46.3752804793 45.5832847579 102.644294072
5.60135249051 53.5495410524 66.7764477001 127.760154605
6.33425864627 46.4899169961 46.4643599364 100.265694482
9.01413539832 44.9385666777 52.4962937245 107.007083584
7.35635830756 50.3783833649 51.6193864325 114.052428998
5.12348056492 51.995042571 54.8568986164 115.572928855
6.66584255305 48.0962153464 36.4788057723 92.0457793913
6.97859407708 50.6247762779 49.2759278121 107.600431031
6.91551535347 49.9390761842 59.0592104242 117.218224931
7.44126313512 45.8523118582 53.1517152488 109.126311513
9.16937776964 48.8044423543 50.402030881 111.365107128
5.65413397871 57.5425972367 60.2747614278 124.287645087
5.05117542209 56.7939915606 51.2818555382 114.985051999
5.53004678253 46.526011835 56.0885516576 112.527144229
9.70346278561 53.1891200542 39.1359209431 106.375297963
5.44830566456 42.558246871 70.7189856263 119.906616538
6.70524935702 43.4286444901 53.4948783471 108.580211034
9.52600299416 47.3161762931 53.5756900866 112.775600448
6.04133923876 55.687247991 62.4139102888 125.51511368
8.28322158483 51.0416452499 32.6374577507 95.7219293174
5.03226510551 55.6186917697 52.4903958045 116.769417283
7.18153595977 52.3733009871 42.2056355305 103.406553715
6.86660736933 45.6800618022 59.1901857486 116.309330558
6.99204119401 48.6309341556 30.6446824794 90.7027195864
6.36403249216 40.4180907419 29.2249734023 78.656291408
5.22426177755 52.801262281 57.6487068932 117.872412421
5.03544372425 50.509337744 44.0248432652 100.506512243
9.3000260631 50.6478401823 41.8293093982 104.383020437
8.63047757901 58.8569318796 38.9436566013 106.828158713
5.66008837284 48.1408858151 47.65683142 101.91537282
5.98155874068 46.0564101334 52.4176186047 108.420483925
6.67489602223 58.1929185028 49.1254858293 115.53048859
9.59522148043 46.5199632396 65.1631756019 124.45675915
6.51785334031 47.6706746393 43.0355499559 102.189074745
9.34766727921 53.2401929943 45.2713479173 110.201019524
9.50857586121 53.4717632674 41.6233977483 105.152552685
8.11402164872 44.170302698 60.9382511244 115.719140084
9.56239488877 51.3902494352 34.6757035694 98.054373737
5.36886882973 48.1318957247 32.2697305875 90.0523413204
7.81347629022 49.2900573503 56.9055292319 114.118973257
5.66483031979 44.1623059846 61.5351456519 115.423905672
5.85519780205 53.0141723412 56.9410880092 116.739464413
8.53908067375 49.5781510238 58.0726060775 118.959993398
8.18578915757 57.9802863807 63.9744022308 133.722203321
9.29450460756 53.0351738533 43.5653211293 106.684515884
5.65981965322 44.8014480887 50.9860312206 104.265957547
7.71862399365 48.0628027407 38.846461088 98.8631717807
8.8405968068 52.5430943773 51.2374412069 117.482989045
5.79592189014 57.6039267947 44.5269498994 109.424695146
5.57261290505 60.7198013828 55.7116159322 126.380431974
7.31154392781 44.8910096708 40.9592279581 97.1703227928
7.94551940248 54.909458334 56.0368895176 121.201764256
8.35902320931 47.019441463 55.5981562555 111.063896663
9.26491646555 40.3841311843 42.2144876831 91.9861129842
5.50195205795 53.1599484375 71.3496515141 132.807726584
7.41540235512 53.9006341055 70.0736543563 135.235423567
