A B C D E Total
7.54574485098 57.8995080204 42.1690717462 23.4207444593 29.4678933703 160.509095951
8.82334527697 45.8237556236 38.0492656393 26.0220687562 17.6282003844 140.207657
7.09183824867 50.1825319889 39.886473103 29.9557425417 21.6273059678 153.658339835
7.99872961651 52.241496291 48.4723882909 23.243469518 23.5921261629 158.645216929
8.16149404769 48.8558620609 59.17008985 15.7237420944 29.3711080562 164.414075844
8.51660324015 58.232408353 36.8208451665 21.1930387563 32.6941105598 159.35291796
7.01137865958 51.6299059181 43.1596650038 18.3861743005 24.4141583426 147.236858214
7.58917276911 58.564551639 49.3023063481 17.6317786634 17.5794887591 155.080976735
7.0118758431 53.424186604 55.8609315917 22.2886623262 17.0733868989 160.51317573
6.25620960522 49.5601571957 50.3954047307 22.6472649833 29.3205408205 158.689367553
6.18447313797 57.9524340861 20.833685875 20.5878417503 36.371771188 144.520811081
5.77831396716 54.3857244819 49.492870933 17.7187557192 25.6192988052 155.206992135
5.7409688999 56.3733911311 60.7674981618 18.4344574521 17.768168342 161.178576875
8.84624209703 53.3022524032 56.0695236749 20.3767424172 19.5437636235 162.694353704
5.11242566892 52.5755244114 41.2049075347 21.225206845 23.6980927041 147.262971264
5.94970244819 46.2457906106 41.9128291159 12.2869500091 30.3541239617 140.533005718
6.629720596 53.9651942255 52.7632416208 18.9392860298 24.4754252516 160.270016063
5.060433513 51.2287251725 61.7012586418 16.613468711 20.9361588275 157.149399155
8.80447644708 49.8841430154 55.4564652963 27.7328643668 20.7159466275 163.378392337
5.40683398726 47.5721879526 55.2092328096 18.4809692411 26.1835851281 157.64983559
8.38959444792 49.6594102049 42.2103050741 29.7230726198 23.6522734031 154.919308318
9.52144047568 53.646307833 34.5877443282 26.8891882812 25.793328033 151.884478657
7.12137155927 50.6790807223 61.5857588852 26.5524198274 34.9403809167 182.83132337
7.77671760757 48.2955700504 47.3807244873 23.6673267646 23.9036377224 153.290344404
5.29137333507 52.5140793189 49.1801140692 14.6793848768 27.5765992695 150.303751359
6.48741487818 48.4602586225 52.2332200599 26.0627668264 24.2991042597 161.145281706
8.43153007684 57.5789587833 42.4664257289 29.9959971689 25.4073934421 164.820866217
8.15775442513 50.6346419526 41.0320290221 13.3717389714 27.2419640365 142.91465497
8.3070456349 45.8238238564 27.940900668 23.6792809649 40.8786233836 147.352970415
5.66965042369 52.0772333723 48.8163050613 13.1521688298 28.0074707594 149.026575168
9.3432765355 56.1716897538 63.7578085244 17.2259691625 14.5811389542 165.354821654
6.99394272662 46.3894104899 55.1403161516 17.9862674885 30.346715777 160.605703707
9.58717105275 49.6922382759 60.9214613234 20.679246237 22.7850010003 164.824383266
6.45716671996 50.8094074636 39.9494313982 26.0753159342 24.8042066898 149.486447742
8.62675229456 50.2233763398 52.7299424479 17.5284856849 27.9640747198 159.011473298
8.96888017336 52.0922501043 59.2869241656 16.1233410764 24.5100905296 164.08817042
8.23513583507 47.0610588793 58.7460568518 16.9165484674 24.9901805738 156.784279257
5.58230648265 49.1688446634 71.438292243 24.316678529 19.9357371043 172.426862713
6.34233958804 41.7568054859 45.4196133411 19.5203624332 25.6768955357 141.255780639
6.80450854046 48.6919172408 46.7034644079 25.9611085127 30.3474312138 159.668651006
6.20316812203 44.6286841879 57.1843637214 22.2330371585 27.1683333379 158.407486952
8.96224877986 51.23695391 33.9306620005 18.4584053447 31.9226163923 148.656118625
9.77249431343 50.5641849313 37.3496789409 23.1894154232 28.9177805437 152.917966442
7.99464493122 43.241736999 54.2471137213 11.0102533023 24.5836467016 143.05849095
7.2409113716 42.2912923331 54.6641692735 25.4825966635 18.0057121987 149.621942938
5.42807787724 51.5910292878 38.3242720225 17.548643629 29.8219764951 144.537720731
6.05940885208 47.7290672954 21.2580996665 20.4165655886 24.1149102276 123.035021156
5.24030194806 57.683141463 52.429945242 17.8144336346 33.4242294687 167.061906929
9.49261066868 46.5495437613 52.2136661459 11.2953028813 31.7997336712 152.6203981
9.9309508655 50.3553604378 53.6362887113 21.4061112387 24.7689960708 161.306741044
8.5210009851 38.5927992172 52.7771090716 29.2586609555 31.4384780088 160.918441058
5.10670542107 56.9326183907 64.6335418703 18.7010938067 29.455949312 179.087006751
7.1899578817 52.087664237 37.5893931336 21.3993048737 27.9918010452 149.599705183
9.01722861199 52.3250296084 49.3081448451 28.6250804348 17.22283939 160.4785302
6.54351536801 52.2782349686 36.6404311015 20.2549032063 23.2152384247 141.440433868
5.27504818255 53.1286898902 53.4638909447 22.8544196125 29.5294254045 167.896622464
7.70001091507 41.8481362292 40.8588664939 18.8339631162 26.630165118 137.202650165
7.45628997337 49.4507535069 66.9624633894 22.3810960291 21.7167396754 172.633510924
6.16956677648 47.4699836132 46.7737832674 14.1436149879 19.5454807601 135.540942059
9.18969825281 47.087993754 68.5130085173 19.3433034946 29.1906551045 174.526686667
6.30537652709 57.5499898844 63.1201009012 17.2701647042 23.165151448 167.957153761
6.3459200104 47.3110744249 25.3361492333 25.4697886643 26.3784828232 133.123769821
5.71331145168 56.3038745619 38.1087251626 16.8963096975 26.1183097979 144.999910378
9.9882052505 47.0532416423 44.513095317 19.574920431 26.3205566612 150.978448384
7.00298166288 59.246078712 55.3123532698 28.6024110926 26.0394601293 180.798596332
9.01468851024 53.7776059418 52.7992292152 19.9666413674 26.6006992785 166.30448297
5.69039765198 44.8015880957 61.9687138795 26.2522933193 27.4577100688 169.78531959
8.09134069868 56.0307835124 61.9790648116 29.1254996967 31.2707965591 187.941551384
7.23407062175 44.2781915556 33.4829637462 20.5096737876 23.2984599079 131.641711973
8.32705436223 56.2192371295 54.6328204224 29.4526382045 29.476230071 180.171342687
8.09973224774 51.2729761142 46.8290447586 16.7822031662 27.7203234572 155.531653073
8.97452751966 43.783042091 53.5868606348 20.2976310243 25.8032643498 157.013998608
6.5315215073 43.2106506009 46.0470835217 13.1381672736 18.3804080325 127.714030477
9.33795361968 53.7286047743 59.6519280129 21.6258789724 27.2164318608 171.981825808
8.24049201895 56.3203483697 69.0439395569 17.2156706805 17.3866785576 172.461687286
8.63807316354 52.0384137582 54.3723653457 13.2301027144 28.082681913 159.696152429
7.83240216484 47.701612842 48.8001853883 15.7160382633 24.4117323627 146.046647169
9.3903325658 47.5541474172 49.3306734367 12.3122995441 14.3091692252 133.096918373
8.43946418083 53.2664526711 73.5489076211 15.8982909801 23.7583461918 176.861147981
7.35261339198 52.407326428 47.3369169544 19.5333162146 28.8882263194 158.622268304
8.08397818573 49.4180586102 50.0219376609 21.6006559511 23.6121647485 155.027906592
5.08985379852 48.5827336672 39.4392169417 17.5108850104 17.933816974 132.34666222
6.16999185572 53.6224558084 51.2191329812 24.9617586611 26.9845508097 165.382640285
7.00829442234 49.9886561667 49.8394111118 14.19873534 27.90066289 153.343157463
8.38792172377 45.8516303407 61.3307235902 22.8182189026 20.5763786035 163.374546119
5.89030011352 54.9660872466 52.5071587125 21.9549759386 17.7530706064 153.973096856
