A B C Total
57.9389364672 54.3440499678 50.1208001451 163.234674125
52.0844510581 56.9943848714 50.617052979 160.652457634
56.5351923941 54.1878470703 54.9039951838 169.980980271
52.9005883951 52.5726069806 53.0382966362 159.108099969
50.011894823 51.3498241855 45.1059798836 147.925137257
43.2357934107 45.4578075279 42.1652832531 134.443169214
51.7725249883 46.4486291165 55.6970140515 157.713076833
49.1553396841 54.5766729483 41.414316168 146.64004806
53.5759234069 43.3620971688 53.3574396383 153.370101263
51.7815719929 52.3491979472 39.7379364914 144.18046649
43.9365511623 52.2476693242 43.8212163674 142.669208566
52.0185029477 47.6355855651 40.4502036398 144.470994971
54.8147563734 39.6519669533 39.7903912469 135.838619238
46.1492476074 51.5649063963 48.8837812196 146.920417595
40.720521147 52.1911739115 39.236212202 136.750732426
50.1821328839 51.4094695392 45.0768738357 147.542671335
52.0895546742 53.0991269129 48.447671107 156.677726324
54.2320230744 52.4089436947 53.122778906 160.641670125
42.9896860489 51.8288248455 50.1098165145 147.723725235
46.651041667 56.5268000168 49.2329183189 154.915063172
53.8663133272 48.0185457121 46.1159478615 149.836511743
52.0354403383 51.5751936963 48.3740420291 154.139911224
51.1542928428 52.8877145067 60.4584822663 165.434037661
51.5789105313 52.2270965651 45.3530917612 150.258396103
47.0042716049 54.2729774515 56.5338760368 160.570290184
49.5594490044 52.595670503 47.2659306662 149.724583208
55.8951637508 42.3226445548 46.2262334814 146.747692134
48.0824213731 51.964196226 50.3914473059 151.312218692
40.8098474841 53.4820514286 47.0117362765 142.571065697
44.3278632992 52.1638261688 46.4186874192 144.27157679
59.3752461859 44.0142597053 52.2986786901 157.991622183
54.4798642218 49.9875213966 46.8456074911 152.859075271
58.7925895012 50.9528856249 46.828703801 160.121527377
47.3749979022 57.0855155172 50.8802391697 156.600085479
57.4773109884 51.0755663988 53.7531801338 166.233718084
57.8207425856 50.5384413455 50.3680380699 163.194689561
54.333008942 55.7434138758 51.2409009173 161.584201291
50.6340334653 46.1551154422 51.5193955528 152.651434089
44.4846249709 52.3203382202 52.7049041672 154.450720521
44.0695651052 51.0765364733 51.4637245891 150.379838253
55.0017680083 44.9217051199 50.3569204369 152.153355027
55.324462531 48.1337347082 49.2283392806 156.563879854
55.5168101628 47.9083644795 60.5933569765 167.395671753
50.4440280771 54.2795107633 51.3033517101 157.4347334
48.413374579 49.4742822113 43.8103248335 146.098963968
52.8169678462 44.3226646205 42.6760816357 143.778178998
43.5358628367 56.8101710121 61.2588244292 165.238170698
