A B C Total
5.58557592448 46.6806531435 41.5328146879 96.3724889661
9.97577481836 49.1554228374 45.5840075916 106.807633804
7.53087746803 51.3186813764 31.1376315673 91.1219148877
8.52787760938 46.0155661489 56.5661106993 115.426291391
7.41885714667 52.1826279294 54.9595501235 115.709787434
7.49788556755 48.1501490162 50.2891605136 107.175991164
8.91721350675 51.6630565893 52.0120708316 115.543668645
8.11228175844 52.3781346974 35.4040222912 97.8903073714
7.56956696088 49.7507161072 65.5866951603 124.014072561
7.69999607091 44.473515007 48.272652626 100.785171918
5.95123185208 52.019898656 33.7287337719 94.1382226198
5.96405038002 49.5861726123 63.7304256196 123.686313181
6.14274844475 46.3458932697 56.9205876928 109.541582146
8.30081221287 54.0213070471 32.5031374653 97.1344169573
5.2159545609 42.112182348 53.2597674192 101.254200449
8.25350828693 48.5714600191 42.2632363844 100.312750051
8.23498686281 54.4864298557 44.2767414994 108.749391832
6.43535541631 47.5729904135 51.844152016 109.444081479
6.80883394006 45.2404169272 50.772521131 104.03912354
6.23664413384 47.638382256 40.7250001724 98.6909392952
9.40933969541 45.9355759664 46.4462096793 104.936154903
5.4306997928 50.1949716074 51.3617692106 111.743427443
9.28921190746 55.1737782912 50.4506110678 115.117046421
8.42182100026 55.7520764122 42.8959436638 107.206563687
8.59522945922 55.6618009413 57.7606651394 122.085652437
8.28262972283 49.4106591016 52.2496908776 112.924992694
7.95808723456 53.7044492956 43.526360541 107.15837768
6.60826334816 48.1588923052 57.6396531905 114.552240245
5.66697825019 46.7044588627 27.8463572611 81.0839545991
8.46099076565 42.8739724673 44.0194851039 99.6917017275
5.0553118685 49.1036392084 31.6386996675 86.6690606233
5.76348751717 49.7867755529 53.0067837562 108.890469961
6.87813895084 58.6256881639 49.5857589803 119.307139548
7.70353620836 49.9667111917 66.1426762281 126.29226936
8.07712233653 46.2258919226 47.6804458152 105.053169119
6.11416175945 55.0327365876 45.8037009616 111.570961881
6.21718124713 49.719256504 50.7820901716 111.213810529
9.25285445207 51.0330833021 66.0821436843 129.893700636
5.16277983274 52.6028336509 60.7110762849 119.387818609
7.04624379913 47.8250701619 49.6704304369 109.465469364
6.78502584497 51.1911192654 64.8178003439 125.044797882
6.07086216005 51.77662588 48.393559936 109.864453183
5.5096080143 58.4135896514 45.3029526876 110.187863162
6.73809690448 52.9837363206 49.9876302698 113.040208206
7.23637109085 57.2798244908 43.9078380499 109.936721513
5.3642546462 57.4516781564 49.3422755885 115.931773245
7.69560248989 55.7187601719 31.3008847564 98.1309689705
8.25353573762 48.40808011 38.1790557036 95.0013284848
7.26334014763 53.5913675604 59.6686637833 125.292903165
7.90530338357 54.6379134173 40.673497763 103.418671566
8.88046279724 57.7648149446 44.0091747772 113.633433239
