A B C Total
6.46361788352 54.3588914972 37.9072814613 100.876016445
6.69882791824 45.4082168512 54.1975658165 110.511032606
9.02392850145 50.8056573507 53.0094438772 114.668874285
7.47728570115 59.3536842394 44.931725126 115.824212191
8.95154476043 47.8984219585 37.4253305133 97.0625926938
9.9241656688 51.6298525617 53.5575860156 115.72639815
8.25421786097 51.113820242 51.9818361622 114.878891963
5.89760090773 52.999459386 54.0467888971 115.920480109
8.09001482971 48.3524545723 55.6784021896 112.63092512
6.60713771256 50.7647943559 30.2186608973 90.6550353669
9.46357010837 46.6312165113 40.8372157463 100.116158556
9.30849461093 51.3708881208 76.6052205897 139.776393064
8.91651917345 46.4180789597 46.4068099493 101.815950519
8.91064035579 44.0043138549 63.199188223 116.626045645
6.37368705307 55.7096264399 51.7545692946 116.949549262
8.03544322257 51.1311701238 31.3977379312 92.0133421533
9.82800920982 43.7794296927 37.7887928936 92.7136543867
7.41077904897 53.5701141066 66.9107900937 130.284692865
7.44857477124 58.9349754798 66.1194376138 135.455488958
7.0964428939 50.902900122 51.3086091192 109.699459297
9.55553280187 44.0181323699 47.9414312432 104.856662385
5.60082889457 49.0987945256 67.4299208377 126.694979216
9.28128608964 47.9922398893 48.203615551 108.536063327
6.37096691574 46.1459838084 45.8078649173 102.197309501
8.93648686468 48.0462790393 60.9514170943 120.013774449
5.18885537396 46.0443624645 33.7870954853 85.8509518011
9.98069235604 53.5319862312 52.2274148541 118.245544713
8.15262579976 50.2912031673 53.1305062219 112.797375308
9.44608109452 50.9125468487 63.7582779843 127.339489246
5.31248932459 51.1105318477 41.9207988703 98.4583505105
9.51905738971 47.8394954569 52.3730375369 113.139096655
8.13558663932 49.4679158429 35.3328955579 96.3757642524
8.96351403769 57.6891341634 40.7357405602 111.328185785
8.12804641799 52.6073237542 44.0337917463 109.338833882
5.64249936672 49.2237112147 54.6976871109 111.071428264
7.11016450803 58.1722062821 77.2080265029 146.408256764
8.59143955122 56.1005448355 36.0271928012 105.641235392
5.49597032678 56.2555988377 42.4274980887 104.333873087
8.27005132874 49.9269748562 47.2189156381 109.355622686
6.85065834515 47.0210110519 50.5439264678 108.854830653
