A B C D E Total
5.35145980804 42.5672669303 32.881302411 22.5384282735 24.362709564 128.169998879
8.51808160185 57.2289735952 34.0911112402 21.2707927657 25.5902471968 151.479770615
8.45237338704 49.7788302541 55.439183198 17.1305973425 25.2039195572 159.833785317
8.85969859813 69.6814062587 49.5327605922 16.5822707935 22.4365060431 171.791661149
9.29989525874 55.962050938 39.7861791619 18.5816173214 26.9846282506 151.001268623
6.24949305226 44.9706474339 49.924827802 20.0171462128 17.536420413 141.311065384
9.31673077218 50.7742522235 53.0642713657 16.5152759448 34.9427059895 168.029442553
7.05359989278 57.6308622022 51.9987488232 12.0084555393 25.5559177904 156.185804408
9.46955438447 46.3753029222 63.5365043558 26.2656988018 23.5314829513 173.501037279
5.54729149673 46.2111503665 49.3270623417 21.8024691 32.8667738462 159.250635144
6.52014098901 52.9834176333 42.4026729434 17.1898739552 17.8706518643 140.475453654
7.90431902875 59.4032080617 38.7429585547 22.0167779698 28.3433180283 156.521702746
6.86846133937 53.871490063 47.138432173 23.7656895237 33.0478151183 168.046326855
8.08288081785 46.2169652757 55.9481078221 15.9878986577 21.0433312638 151.487175541
8.88774602838 45.7801483052 48.6686903251 22.1771074744 29.9696102835 155.913439411
7.26435339999 52.41720195 50.1643334469 11.6865652887 16.1293199692 140.544159281
5.95467097961 50.5961966377 63.7856869273 18.2130668369 12.9201800314 155.679516194
8.79720280835 52.0412879474 32.1908402824 24.2122722144 27.1781692965 148.656020572
8.2158826852 56.329232651 54.8503283847 22.616523141 26.1045885134 170.161541294
6.66966734974 57.6574605712 59.6439466745 23.5653972623 23.4425234859 173.000333798
6.07418814678 52.4812475204 34.3089967568 16.0821405958 21.3442520074 134.445210513
5.81689112151 41.3586784859 57.8404699225 15.479882039 20.564471399 142.987537325
7.32313478393 38.6512003252 56.2643332914 20.1593398143 25.4986435093 149.272416418
9.31775655365 53.5706608414 46.0610499452 26.5148929476 26.2240044201 162.948390153
6.19643983691 59.8362541025 52.9024153316 15.7443272161 16.2644726188 151.02793531
