A B C Total
9.82009837044 47.3782200894 43.710988914 102.485167083
7.64146616903 53.1584585488 41.7483257137 105.366518244
8.96529049312 45.7733422111 45.8723112753 100.626675624
5.23545719452 51.9208708789 43.3857319686 102.233348141
5.70617381222 48.4615984825 35.255738765 91.6603525594
6.48948689309 55.1615229929 47.9373045672 110.428181632
7.96160357943 41.8233201852 55.5677628263 107.725306255
6.65726828196 43.2075465991 46.9338438137 97.19084265
7.82664789576 47.2612105126 50.8086180221 107.273493053
7.20354279538 54.7030332135 36.5243991241 101.344173381
6.5137295496 53.8559910416 49.3909962753 110.616330147
7.00512765771 45.2664151385 51.6013038272 108.680442527
5.82868002647 46.7479993751 39.1621418349 92.8270352029
5.28070572357 47.7235125578 55.3831656949 110.033421001
5.85692481109 55.949412925 59.8312403407 123.801639722
5.33432960019 53.5878153949 37.1717940796 99.7908291747
5.73916014843 54.9156472054 46.7443528757 111.618927036
5.97927741439 47.7116625227 57.8542324923 112.306733374
8.16448188504 50.30911572 43.3258073855 106.470416652
6.9245291733 55.3490732792 55.6886639882 121.022081487
5.64038087995 49.9381842291 46.1861497723 105.484040613
7.78386113099 50.3084127642 49.3835580762 108.989173144
9.04550531009 43.1480998104 39.1676089344 95.6063339268
9.45885739998 50.964514497 48.2585649185 110.56395945
8.96859536572 48.1645736128 52.755928578 114.39539021
6.12937619005 44.2405559647 48.1660712308 98.8480505296
6.58976826765 50.695997034 47.7015197995 109.954157373
5.58619994562 40.2903011592 40.7832562218 87.0930547039
8.26425128745 50.3289197361 49.0397958131 108.459656894
5.42946275313 50.3458813462 35.2701584261 95.9263361164
9.42449254945 42.6352724161 45.9119169371 101.460771949
6.7932421451 48.6071248234 46.1458169897 105.130314344
8.80161299659 51.6254934072 51.6121545162 113.299879015
6.09195535236 55.3305078439 48.226779345 114.554600115
8.61499170445 46.4175382619 41.7908051689 97.9133148858
9.09513433788 46.7601097682 46.0625980844 105.352287779
7.05093353318 57.4649609247 43.9387993194 112.241267482
8.37175735245 53.2579320781 54.2987708605 120.050283799
6.107178361 47.2073626837 30.7632151627 85.1823386936
5.80114203162 50.7744806668 49.2084148969 110.151104686
5.49925624845 51.315237801 33.4092667658 94.7301136186
9.79285170092 41.3259971178 38.1525859174 93.7151117296
5.04012680804 47.3641366563 42.7637505701 95.3734000991
8.56435883577 45.4153560197 41.4913939582 98.6683632919
9.3316703488 51.4911164747 44.9386481315 107.774180395
6.91104137789 45.3200308268 45.7907664482 99.9446694343
8.98936688963 49.8105189642 49.6205399509 112.874308457
9.66613209783 55.6916686471 41.6182700999 110.637555196
8.62201823156 40.7514671398 52.3818032422 106.006898044
9.16007742185 56.1103314462 54.4302629219 121.621039103
6.15792697543 63.0281866658 46.7907506919 118.456478755
8.44292473755 56.9930555393 46.683184868 114.145285602
6.00407318862 49.8603558059 45.7829753116 105.282288005
7.95984323136 48.1868661629 69.4941265531 128.902381086
6.69940013341 47.5889737403 55.0108113381 114.069367837
6.79424714473 49.9632744116 43.0911453114 101.048567938
7.38690930288 53.8808295247 39.0021233895 101.677379718
7.9054492981 59.9334367754 61.0915834404 129.223013672
9.30790933691 50.852644628 63.396716358 125.231840938
8.08863346703 50.6016847723 46.8129555817 110.166002663
8.21026016298 51.6097959125 45.3654404773 107.276435512
9.5667690493 50.8113072327 49.6975049925 113.068885665
9.10476043309 44.9406496272 58.1199849478 114.616890853
6.26560045256 52.5127149544 41.3073337189 100.911077303
6.72411013315 56.8297312312 46.3029486759 111.594954091
8.27006513304 47.3124157765 44.9349059126 103.081694309
8.03577942246 46.1182527628 59.8026437061 117.997943535
8.29447141921 48.4235804349 48.340743453 109.776325802
8.42599901212 50.2240130448 43.4467379382 106.93942177
6.00653606495 51.2076291801 34.564202895 95.8568316338
6.71861837369 49.0834040888 64.2214252745 121.087472258
7.19281904029 49.6222081439 47.7092163965 108.680761645
9.80933281129 51.3875129181 36.8483591213 100.850870432
6.84553835649 41.7092142224 57.1869071304 109.326730726
9.20340444872 46.2214105623 41.5809164018 97.6952804766
5.64010732593 44.8572730005 49.8932031079 104.922422027
7.29102240345 44.0212241228 40.0394247315 94.9728247334
9.61884088169 65.3106775807 53.1027071216 131.689555821
7.442633427 41.5293663172 52.9604873494 102.84817012
8.89350709289 50.1047115951 62.1686021291 125.248554921
7.7740241867 54.2752058614 48.196909991 112.48060257
8.98186724419 43.6084749218 52.2862472165 109.787940732
8.05273448013 51.0019206838 59.5259866778 119.457338369
6.31137784058 50.7185595322 41.3972621455 102.373083671
8.57670390244 48.6866053326 54.4788858309 115.567675148
8.41864862694 51.1061399458 42.6076789681 102.161535886
