/Library/Java/JavaVirtualMachines/jdk1.7.0_71.jdk/Contents/Home/bin/java -Didea.launcher.port=7537 "-Didea.launcher.bin.path=/Applications/IntelliJ IDEA 14.app/Contents/bin" -Dfile.encoding=UTF-8 -classpath "/Library/Java/JavaVirtualMachines/jdk1.7.0_71.jdk/Contents/Home/lib/ant-javafx.jar:/Library/Java/JavaVirtualMachines/jdk1.7.0_71.jdk/Contents/Home/lib/dt.jar:/Library/Java/JavaVirtualMachines/jdk1.7.0_71.jdk/Contents/Home/lib/javafx-doclet.jar:/Library/Java/JavaVirtualMachines/jdk1.7.0_71.jdk/Contents/Home/lib/javafx-mx.jar:/Library/Java/JavaVirtualMachines/jdk1.7.0_71.jdk/Contents/Home/lib/jconsole.jar:/Library/Java/JavaVirtualMachines/jdk1.7.0_71.jdk/Contents/Home/lib/sa-jdi.jar:/Library/Java/JavaVirtualMachines/jdk1.7.0_71.jdk/Contents/Home/lib/tools.jar:/Library/Java/JavaVirtualMachines/jdk1.7.0_71.jdk/Contents/Home/jre/lib/charsets.jar:/Library/Java/JavaVirtualMachines/jdk1.7.0_71.jdk/Contents/Home/jre/lib/deploy.jar:/Library/Java/JavaVirtualMachines/jdk1.7.0_71.jdk/Contents/Home/jre/lib/htmlconverter.jar:/Library/Java/JavaVirtualMachines/jdk1.7.0_71.jdk/Contents/Home/jre/lib/javaws.jar:/Library/Java/JavaVirtualMachines/jdk1.7.0_71.jdk/Contents/Home/jre/lib/jce.jar:/Library/Java/JavaVirtualMachines/jdk1.7.0_71.jdk/Contents/Home/jre/lib/jfr.jar:/Library/Java/JavaVirtualMachines/jdk1.7.0_71.jdk/Contents/Home/jre/lib/jfxrt.jar:/Library/Java/JavaVirtualMachines/jdk1.7.0_71.jdk/Contents/Home/jre/lib/jsse.jar:/Library/Java/JavaVirtualMachines/jdk1.7.0_71.jdk/Contents/Home/jre/lib/management-agent.jar:/Library/Java/JavaVirtualMachines/jdk1.7.0_71.jdk/Contents/Home/jre/lib/plugin.jar:/Library/Java/JavaVirtualMachines/jdk1.7.0_71.jdk/Contents/Home/jre/lib/resources.jar:/Library/Java/JavaVirtualMachines/jdk1.7.0_71.jdk/Contents/Home/jre/lib/rt.jar:/Library/Java/JavaVirtualMachines/jdk1.7.0_71.jdk/Contents/Home/jre/lib/ext/dnsns.jar:/Library/Java/JavaVirtualMachines/jdk1.7.0_71.jdk/Contents/Home/jre/lib/ext/localedata.jar:/Library/Java/JavaVirtualMachines/jdk1.7.0_71.jdk/Contents/Home/jre/lib/ext/sunec.jar:/Library/Java/JavaVirtualMachines/jdk1.7.0_71.jdk/Contents/Home/jre/lib/ext/sunjce_provider.jar:/Library/Java/JavaVirtualMachines/jdk1.7.0_71.jdk/Contents/Home/jre/lib/ext/sunpkcs11.jar:/Library/Java/JavaVirtualMachines/jdk1.7.0_71.jdk/Contents/Home/jre/lib/ext/zipfs.jar:/Users/hiranya/Projects/eager/impl/eager-appscale/Eager/eager-static-analyzer/target/classes:/Users/hiranya/.m2/repository/javax/mail/mail/1.4.3/mail-1.4.3.jar:/Users/hiranya/.m2/repository/javax/activation/activation/1.1.1/activation-1.1.1.jar:/Users/hiranya/.m2/repository/org/apache/httpcomponents/httpclient/4.3.5/httpclient-4.3.5.jar:/Users/hiranya/.m2/repository/org/apache/httpcomponents/httpcore/4.3.2/httpcore-4.3.2.jar:/Users/hiranya/.m2/repository/commons-logging/commons-logging/1.1.3/commons-logging-1.1.3.jar:/Users/hiranya/.m2/repository/commons-codec/commons-codec/1.6/commons-codec-1.6.jar:/Users/hiranya/.m2/repository/junit/junit/3.8/junit-3.8.jar:/Users/hiranya/.m2/repository/soot/soot/2.5.0/soot-2.5.0.jar:/Users/hiranya/.m2/repository/commons-cli/commons-cli/1.2/commons-cli-1.2.jar:/Users/hiranya/.m2/repository/org/json/json/20140107/json-20140107.jar:/Applications/IntelliJ IDEA 14.app/Contents/lib/idea_rt.jar" com.intellij.rt.execution.application.AppMain edu.ucsb.cs.eager.sa.kitty.KittySLAEvolutionAnalyzer -ccp /Users/hiranya/Projects/eager/impl/eager-appscale/Eager/student-info/target/student-info-1.0-SNAPSHOT/WEB-INF/classes -c edu.ucsb.cs.StudentResource -m getStudent -me 10 -s http://localhost:8081 -wp -q 0.95 -bf /Users/hiranya/Projects/eager/impl/eager-appscale/Eager/eager-static-analyzer/results/apps/exp24/get.txt -ai
Warning: com.google.appengine.api.datastore.Entity is a phantom class!
Warning: javax.ws.rs.GET is a phantom class!
Warning: com.google.appengine.api.datastore.FetchOptions is a phantom class!
Warning: javax.ws.rs.POST is a phantom class!
Warning: com.google.appengine.api.datastore.Key is a phantom class!
Warning: com.google.appengine.api.datastore.PreparedQuery is a phantom class!
Warning: com.google.appengine.api.datastore.EntityNotFoundException is a phantom class!
Warning: javax.ws.rs.Produces is a phantom class!
Warning: javax.ws.rs.DELETE is a phantom class!
Warning: javax.ws.rs.core.Response is a phantom class!
Warning: javax.ws.rs.Path is a phantom class!
Warning: javax.ws.rs.PathParam is a phantom class!
Warning: com.google.appengine.api.datastore.DatastoreService is a phantom class!
Warning: com.google.appengine.api.datastore.FetchOptions$Builder is a phantom class!
Warning: com.google.appengine.api.datastore.KeyFactory is a phantom class!
Warning: javax.ws.rs.FormParam is a phantom class!
Warning: com.google.appengine.api.datastore.Query is a phantom class!
Warning: com.google.appengine.api.datastore.DatastoreServiceFactory is a phantom class!
Warning: javax.ws.rs.core.Response$ResponseBuilder is a phantom class!
Warning: java.dyn.InvokeDynamic is a phantom class!

[sla][offset] timestamp prediction timeToViolation(h)
[sla] 1 1422919382018    14 121.28  
[sla] 2 1422919441897    14 121.27  
[sla] 3 1422919501653    14 121.25  
[sla] 4 1422919561153    14 121.23  
[sla] 5 1422919621440    14 121.22  
[sla] 6 1422919681117    14 121.20  
[sla] 7 1422919741660    14 121.18  
[sla] 8 1422919801417    14 121.17  
[sla] 9 1422919861932    14 121.15  
[sla] 10 1422919921298    14 121.13  
[sla] 11 1422919981788    14 121.12  
[sla] 12 1422920041458    14 121.10  
[sla] 13 1422920101106    14 121.08  
[sla] 14 1422920161580    14 121.07  
[sla] 15 1422920221125    14 121.05  
[sla] 16 1422920281359    14 121.03  
[sla] 17 1422920341889    14 121.02  
[sla] 18 1422920401536    14 121.00  
[sla] 19 1422920461109    16 120.98  
[sla] 20 1422920521693    16 120.97  
[sla] 21 1422920581233    16 120.95  
[sla] 22 1422920641362    16 120.93  
[sla] 23 1422920701862    16 120.92  
[sla] 24 1422920761918    16 120.90  
[sla] 25 1422920821421    16 120.88  
[sla] 26 1422920881864    16 120.87  
[sla] 27 1422920941395    16 120.85  
[sla] 28 1422921001667    16 120.83  
[sla] 29 1422921061286    16 120.82  
[sla] 30 1422921121894    16 120.80  
[sla] 31 1422921181440    16 120.78  
[sla] 32 1422921241611    16 120.77  
[sla] 33 1422921301107    16 120.75  
[sla] 34 1422921361308    16 120.73  
[sla] 35 1422921421937    14 120.72  
[sla] 36 1422921481457    14 120.70  
[sla] 37 1422921541945    14 120.68  
[sla] 38 1422921601479    14 120.67  
[sla] 39 1422921662044    14 120.65  
[sla] 40 1422921721504    14 120.63  
[sla] 41 1422921782013    14 120.62  
[sla] 42 1422921841679    14 120.60  
[sla] 43 1422921901336    14 120.58  
[sla] 44 1422921961970    14 120.57  
[sla] 45 1422922021467    14 120.55  
[sla] 46 1422922081781    14 120.53  
[sla] 47 1422922141412    14 120.52  
[sla] 48 1422922201954    14 120.50  
[sla] 49 1422922261528    14 120.48  
[sla] 50 1422922321149    14 120.47  
[sla] 51 1422922381791    14 120.45  
[sla] 52 1422922441947    14 120.43  
[sla] 53 1422922501157    14 120.42  
[sla] 54 1422922561166    14 120.40  
[sla] 55 1422922621754    14 120.38  
[sla] 56 1422922681229    14 120.37  
[sla] 57 1422922741685    14 120.35  
[sla] 58 1422922801981    14 120.33  
[sla] 59 1422922861216    14 120.32  
[sla] 60 1422922921819    14 120.30  
[sla] 61 1422922981440    14 120.28  
[sla] 62 1422923041937    14 120.27  
[sla] 63 1422923101540    14 120.25  
[sla] 64 1422923161805    14 120.23  
[sla] 65 1422923221098    14 120.22  
[sla] 66 1422923281712    14 120.20  
[sla] 67 1422923341254    14 120.18  
[sla] 68 1422923401760    14 120.17  
[sla] 69 1422923461225    14 120.15  
[sla] 70 1422923521538    14 120.13  
[sla] 71 1422923581756    14 120.12  
[sla] 72 1422923641268    14 120.10  
[sla] 73 1422923701788    14 120.08  
[sla] 74 1422923761298    14 120.07  
[sla] 75 1422923821819    14 120.05  
[sla] 76 1422923881124    14 120.03  
[sla] 77 1422923941442    14 120.02  
[sla] 78 1422924002037    16 120.00  
[sla] 79 1422924061499    16 119.98  
[sla] 80 1422924121064    14 119.97  
[sla] 81 1422924181634    14 119.95  
[sla] 82 1422924241961    14 119.93  
[sla] 83 1422924301133    14 119.92  
[sla] 84 1422924361684    14 119.90  
[sla] 85 1422924421279    14 119.88  
[sla] 86 1422924481821    14 119.87  
[sla] 87 1422924541353    14 119.85  
[sla] 88 1422924601617    14 119.83  
[sla] 89 1422924661806    14 119.82  
[sla] 90 1422924721359    14 119.80  
[sla] 91 1422924781859    14 119.78  
[sla] 92 1422924841384    14 119.77  
[sla] 93 1422924901777    14 119.75  
[sla] 94 1422924961061    14 119.73  
[sla] 95 1422925021214    14 119.72  
[sla] 96 1422925081802    14 119.70  
[sla] 97 1422925141291    14 119.68  
[sla] 98 1422925201804    14 119.67  
[sla] 99 1422925261383    14 119.65  
[sla] 100 1422925321595    14 119.63  
[sla] 101 1422925381753    14 119.62  
[sla] 102 1422925441416    14 119.60  
[sla] 103 1422925502019    14 119.58  
[sla] 104 1422925561585    14 119.57  
[sla] 105 1422925621217    14 119.55  
[sla] 106 1422925681417    14 119.53  
[sla] 107 1422925741164    14 119.52  
[sla] 108 1422925801487    14 119.50  
[sla] 109 1422925862031    14 119.48  
[sla] 110 1422925921382    14 119.47  
[sla] 111 1422925981876    13 119.45  
[sla] 112 1422926041179    13 119.43  
[sla] 113 1422926101757    13 119.42  
[sla] 114 1422926161073    13 119.40  
[sla] 115 1422926221620    13 119.38  
[sla] 116 1422926281388    13 119.37  
[sla] 117 1422926341963    13 119.35  
[sla] 118 1422926401454    13 119.33  
[sla] 119 1422926461183    13 119.32  
[sla] 120 1422926521385    13 119.30  
[sla] 121 1422926581907    13 119.28  
[sla] 122 1422926641167    13 119.27  
[sla] 123 1422926701709    13 119.25  
[sla] 124 1422926761919    13 119.23  
[sla] 125 1422926821481    13 119.22  
[sla] 126 1422926881167    13 119.20  
[sla] 127 1422926941692    13 119.18  
[sla] 128 1422927001886    13 119.17  
[sla] 129 1422927061531    13 119.15  
[sla] 130 1422927121796    13 119.13  
[sla] 131 1422927181258    13 119.12  
[sla] 132 1422927241592    13 119.10  
[sla] 133 1422927301112    13 119.08  
[sla] 134 1422927361676    13 119.07  
[sla] 135 1422927421208    13 119.05  
[sla] 136 1422927481735    13 119.03  
[sla] 137 1422927541265    13 119.02  
[sla] 138 1422927601462    13 119.00  
[sla] 139 1422927662021    13 118.98  
[sla] 140 1422927721625    13 118.97  
[sla] 141 1422927781122    13 118.95  
[sla] 142 1422927841753    13 118.93  
[sla] 143 1422927901292    13 118.92  
